iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
31,-0.011773190461099148,-0.20773610472679138,-1.3135942220687866,-0.39227643609046936,-0.48818641901016235,0.9726682305335999,-0.0028466726653277874,1.0,0.0,-6.0178399085998535,5.852766480529681e-05,-0.05496673285961151,0.12197737395763397,0.052037715911865234,0.01131129264831543,1515.0,0.19675222039222717,142.09524536132812,-4.082244873046875,-0.022309551015496254,-0.4937020540237427,-3.243547201156616,-0.4531503915786743,-0.34712040424346924,1.8987722396850586,-0.006588208023458719
32,,,,,,,,,,-6.018360614776611,5.852766480529681e-05,-0.056885555386543274,0.009719962254166603,0.049546003341674805,0.01120305061340332,1580.0,0.1966991275548935,142.09524536132812,-4.082244873046875,-0.02317640744149685,-0.17675460875034332,-0.24501703679561615,-0.23180991411209106,-0.4129730761051178,1.992474913597107,-0.00263001024723053
33,,,,,,,,,,-6.026244640350342,5.852766480529681e-05,-0.05074002966284752,0.0041559129022061825,0.04758000373840332,0.011612892150878906,1621.0,0.19664010405540466,142.09524536132812,-4.082244873046875,-0.022538863122463226,-0.14709891378879547,-0.43041467666625977,-0.7316596508026123,-0.9342679977416992,1.9915517568588257,-0.003506297944113612
34,,,,,,,,,,-6.037806034088135,5.852766480529681e-05,-0.0475599467754364,0.007630409672856331,0.04860281944274902,0.011381149291992188,1600.0,0.1965560019016266,142.09524536132812,-4.082244873046875,-0.024150526151061058,-0.05296570435166359,-0.7721168398857117,-1.1379865407943726,-1.662014365196228,1.9951223134994507,-0.005800887942314148
35,,,,,,,,,,-6.0577802658081055,5.852766480529681e-05,-0.05462728440761566,0.01635700650513172,0.044725894927978516,0.011762857437133789,1699.0,0.19634176790714264,142.09524536132812,-4.082244873046875,-0.022826770320534706,-0.2256709188222885,-1.8675564527511597,-1.1027106046676636,-2.0399374961853027,1.9761462211608887,-0.008990212343633175
36,,,,,,,,,,-6.0838727951049805,5.852766480529681e-05,-0.04686164855957031,0.10074470192193985,0.03706693649291992,0.014615058898925781,1857.0,0.196258544921875,142.09524536132812,-4.082244873046875,-0.02340458333492279,-1.1168595552444458,-5.803068161010742,-1.1116551160812378,-1.6359652280807495,1.824136734008789,-0.005086047109216452
37,,,,,,,,,,-6.096121311187744,8.77914935699664e-05,-0.05546783283352852,0.20991618931293488,0.046562910079956055,0.012502193450927734,1625.0,0.19617663323879242,143.9583282470703,-4.206554889678955,-0.02135772444307804,-0.820063591003418,-6.126364231109619,-0.7159602046012878,-0.6944273114204407,1.827829360961914,-0.008435193449258804
38,,,,,,,,,,-6.104928493499756,8.77914935699664e-05,-0.0416254885494709,0.08989497274160385,0.0488128662109375,0.012691974639892578,1560.0,0.19616782665252686,144.67999267578125,-4.234995365142822,-0.021947398781776428,-0.5051015019416809,-2.502152442932129,-0.32968106865882874,-0.3961046636104584,1.9187709093093872,-0.004789876285940409
39,,,,,,,,,,-6.1147990226745605,5.852766480529681e-05,-0.05358361825346947,0.00860818661749363,0.05044388771057129,0.011347055435180664,1553.0,0.1960405856370926,144.67999267578125,-4.234995365142822,-0.02198454737663269,-0.14568324387073517,-0.32027214765548706,-0.43984946608543396,-0.6301727890968323,1.9914188385009766,-0.002668720670044422
40,,,,,,,,,,-6.13684606552124,5.852766480529681e-05,-0.05294012650847435,0.005904458463191986,0.04791593551635742,0.010596990585327148,1640.0,0.1958729326725006,144.67999267578125,-4.234995365142822,-0.02370288036763668,-0.08034529536962509,-0.5321674346923828,-0.8363990783691406,-1.140212059020996,1.9943403005599976,-0.004017157945781946
41,,,,,,,,,,-6.157471179962158,3.9018443203531206e-05,-0.051392562687397,0.005782000254839659,0.04721784591674805,0.010588884353637695,1660.0,0.1957719326019287,144.67999267578125,-4.234995365142822,-0.022277548909187317,-0.11109922081232071,-1.0661715269088745,-1.0171642303466797,-1.6598634719848633,1.9937628507614136,-0.007954237051308155
42,,,,,,,,,,-6.1733784675598145,5.852766480529681e-05,-0.0456998236477375,0.011348159983754158,0.046491146087646484,0.011389017105102539,1658.0,0.19562214612960815,144.67999267578125,-4.234995365142822,-0.022642970085144043,-0.5254518985748291,-2.629033327102661,-0.8745406270027161,-1.9083765745162964,1.9404875040054321,-0.0053704106248915195
43,,,,,,,,,,-6.202481269836426,5.852766480529681e-05,-0.04325719177722931,0.09645166993141174,0.037238121032714844,0.011327028274536133,1976.0,0.1953929215669632,145.70370483398438,-4.263443470001221,-0.023213012143969536,-1.289361596107483,-7.48417329788208,-1.0536725521087646,-1.2178516387939453,1.7618740797042847,-0.011928892694413662
44,,,,,,,,,,-6.231907844543457,8.77914935699664e-05,-0.04535241052508354,0.050783637911081314,0.04748106002807617,0.010303974151611328,1661.0,0.19525045156478882,146.0357208251953,-4.264766216278076,-0.02203804813325405,-0.5603320598602295,-2.5362935066223145,-0.30072978138923645,-0.500245988368988,1.9206844568252563,-0.005377164110541344
