iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
35,,,,,,,,,,,-5.657872676849365,3.9018443203531206e-05,-0.051654741168022156,0.0007650271290913224,0.05105304718017578,0.01160883903503418,1532.0,0.1991976797580719,31.43000030517578,0.5349652767181396,-0.023045994341373444,-0.007442115340381861,-0.14950095117092133,-0.0019344054162502289,-0.1267407089471817,1.9992889165878296,-0.004218053072690964
36,,,,,,,,,,,-5.6440815925598145,8.77914935699664e-05,-0.04815608263015747,0.0007123640971258283,0.057382822036743164,0.011775016784667969,1388.0,0.19932276010513306,31.760000228881836,0.5404780507087708,-0.023644546046853065,-0.012500529177486897,-0.13705606758594513,-0.0037992449942976236,-0.12468865513801575,1.9993997812271118,-0.008176721632480621
37,,,,,,,,,,,-5.628381252288818,3.9018443203531206e-05,-0.04585584998130798,0.0004958734498359263,0.05068492889404297,0.012243986129760742,1525.0,0.1993998885154724,31.799999237060547,0.5412212014198303,-0.022120913490653038,-0.011535369791090488,-0.174152210354805,-0.004927224945276976,-0.14555107057094574,1.999063491821289,-0.003935970366001129
38,,,,,,,,,,,-5.626018047332764,5.852766480529681e-05,-0.036447033286094666,0.001307990401983261,0.05317497253417969,0.011359930038452148,1487.0,0.1993614286184311,32.189998626708984,0.5474691987037659,-0.022323744371533394,-0.010503820143640041,-0.12529101967811584,-0.003747379407286644,-0.11498577147722244,1.9993419647216797,-0.006124649662524462
39,,,,,,,,,,,-5.636425495147705,3.9018443203531206e-05,-0.045686181634664536,0.0017733975546434522,0.053050994873046875,0.011747121810913086,1481.0,0.199301615357399,32.689998626708984,0.5560384392738342,-0.022772930562496185,-0.017068857327103615,-0.14392255246639252,-0.004515535198152065,-0.15030710399150848,1.9992581605911255,-0.004210309591144323
40,,,,,,,,,,,-5.637814044952393,8.77914935699664e-05,-0.033945146948099136,0.0006385624874383211,0.054431915283203125,0.011802196502685547,1449.0,0.1993621289730072,32.75,0.5570363402366638,-0.024093275889754295,-0.011434723623096943,-0.11903166025876999,-0.005012876819819212,-0.10006306320428848,1.9994646310806274,-0.006928535643965006
41,,,,,,,,,,,-5.628329277038574,3.9018443203531206e-05,-0.04836813360452652,0.006056679412722588,0.05335211753845215,0.011336088180541992,1484.0,0.19940228760242462,33.0099983215332,0.5613833665847778,-0.022864365950226784,-0.010146714746952057,-0.1642485111951828,-0.006694743875414133,-0.15297098457813263,1.999307632446289,-0.0037653755862265825
42,,,,,,,,,,,-5.630791664123535,8.77914935699664e-05,-0.038245972245931625,0.0027622769121080637,0.05275392532348633,0.011853218078613281,1485.0,0.19933021068572998,33.36000061035156,0.5672638416290283,-0.0228537917137146,-0.010135048069059849,-0.12033335119485855,-0.007102352101355791,-0.11602910608053207,1.9994927644729614,-0.004400895908474922
43,,,,,,,,,,,-5.645578861236572,3.9018443203531206e-05,-0.049080777913331985,0.0023509932216256857,0.05222511291503906,0.011456966400146484,1507.0,0.19924621284008026,33.869998931884766,0.575412392616272,-0.023871412500739098,-0.017795002087950706,-0.15814949572086334,-0.01345567125827074,-0.17412561178207397,1.9992799758911133,-0.004039878025650978
44,,,,,,,,,,,-5.654555320739746,5.852766480529681e-05,-0.04267772287130356,0.00046285399002954364,0.052992820739746094,0.011126041412353516,1497.0,0.1991758644580841,34.029998779296875,0.5779942870140076,-0.022461699321866035,-0.02339102514088154,-0.13484656810760498,-0.010905423201620579,-0.12881024181842804,1.999081015586853,-0.004882438108325005
45,,,,,,,,,,,-5.666794776916504,5.852766480529681e-05,-0.05042366683483124,0.003728776704519987,0.05072784423828125,0.01194906234741211,1531.0,0.1990983486175537,34.41999816894531,0.5841163396835327,-0.023573720827698708,-0.012974205426871777,-0.17087960243225098,-0.03442883864045143,-0.22298233211040497,1.999465823173523,-0.0034764755982905626
46,,,,,,,,,,,-5.673436164855957,3.9018443203531206e-05,-0.05176497995853424,0.0014496600488200784,0.050230979919433594,0.011769294738769531,1548.0,0.1990969479084015,35.04999923706055,0.5927491784095764,-0.023440608754754066,-0.01224485319107771,-0.1474107801914215,-0.034912168979644775,-0.16111813485622406,1.9988861083984375,-0.003322635544463992
47,,,,,,,,,,,-5.669313430786133,5.852766480529681e-05,-0.04121657833456993,0.0037360009737312794,0.051384687423706055,0.011504173278808594,1526.0,0.1991744190454483,35.130001068115234,0.5941132307052612,-0.021892214193940163,-0.01328519731760025,-0.14277704060077667,-0.012986560352146626,-0.18065078556537628,1.999186635017395,-0.003772824304178357
48,,,,,,,,,,,-5.653288841247559,5.852766480529681e-05,-0.05231546610593796,0.0031938706524670124,0.05044078826904297,0.011841058731079102,1541.0,0.19930356740951538,35.95000076293945,0.6066849231719971,-0.02247030846774578,-0.014475212432444096,-0.1450013369321823,-0.015319298021495342,-0.18602968752384186,1.9994049072265625,-0.003987608943134546
49,,,,,,,,,,,-5.638936996459961,3.9018443203531206e-05,-0.050973061472177505,0.0009909062646329403,0.052617788314819336,0.011637210845947266,1494.0,0.19934125244617462,36.09000015258789,0.6088537573814392,-0.023925773799419403,-0.012854650616645813,-0.11778417974710464,-0.008773225359618664,-0.13015395402908325,1.9991875886917114,-0.003689916105940938
50,,,,,,,,,,,-5.633697986602783,5.852766480529681e-05,-0.038091640919446945,0.002361048012971878,0.04944801330566406,0.011570930480957031,1573.0,0.19937603175640106,36.5,0.6150349378585815,-0.023144997656345367,-0.0172097310423851,-0.13896054029464722,-0.024824289605021477,-0.22030752897262573,1.9996587038040161,-0.0027853224892169237
51,,,,,,,,,,,-5.634990692138672,3.9018443203531206e-05,-0.053425293415784836,0.003914348315447569,0.04927420616149902,0.011685848236083984,1574.0,0.19933129847049713,36.75,0.6188026070594788,-0.023127421736717224,-0.014049716293811798,-0.13730375468730927,-0.027002638205885887,-0.17359746992588043,1.9993343353271484,-0.002435595029965043
52,,,,,,,,,,,-5.640193939208984,3.9018443203531206e-05,-0.05304393917322159,0.003304240992292762,0.04626297950744629,0.011657953262329102,1657.0,0.1993074119091034,36.75,0.6188026070594788,-0.022827863693237305,-0.03651263564825058,-0.21393662691116333,-0.07149805873632431,-0.2361324280500412,1.9952083826065063,-0.0009305698913522065
53,,,,,,,,,,,-5.6448211669921875,5.852766480529681e-05,-0.039576008915901184,0.007819024845957756,0.0502781867980957,0.011970758438110352,1542.0,0.19925303757190704,37.689998626708984,0.6320398449897766,-0.023361125960946083,-0.03947721794247627,-0.17795328795909882,-0.0879819318652153,-0.18633008003234863,1.9963170289993286,-0.0028838859871029854
54,,,,,,,,,,,-5.647143363952637,3.9018443203531206e-05,-0.049694813787937164,0.00830808188766241,0.04877114295959473,0.011458873748779297,1593.0,0.19930574297904968,38.38999938964844,0.640477180480957,-0.024467065930366516,-0.08880874514579773,-0.2869608700275421,-0.16638381779193878,-0.21823789179325104,1.9853931665420532,-0.002641666680574417
