iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Reward/motion_world_foot_pos,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel,reward/motion_world_foot_pos
30,,,,,,,,,,,,,,,,,,,-25.414831161499023,2.2500000341096893e-05,-0.025750387459993362,1.2717043161392212,,,,,,,,,,,,,,7.727377891540527,0.015948057174682617,24.0,0.1008271872997284,148.6571502685547,18.837553024291992,-0.06095867231488228,-1.1931362842165782e-10,0.9744837284088135,0.9630463123321533,0.934654951095581,0.9815090298652649,0.47442826628685,0.4747958481311798,0.9667027592658997,0.0,0.6817683577537537
31,,,,,,,,,,,,,,,,,,,-25.38603973388672,2.2500000341096893e-05,-0.029667681083083153,1.8811805248260498,,,,,,,,,,,,,,7.571099281311035,0.0157778263092041,25.0,0.10090190172195435,148.70269775390625,18.877201080322266,-0.06285276263952255,0.0,0.9689249396324158,0.9458343386650085,0.9214184284210205,0.9786808490753174,0.4660703241825104,0.4649592339992523,0.9727031588554382,0.0,0.6203579902648926
32,,,,,,,,,,,,,,,,,,,-25.37459945678711,1.4999999621068127e-05,-0.038191717118024826,0.20761476457118988,,,,,,,,,,,,,,7.2918219566345215,0.01691293716430664,26.0,0.10090073943138123,148.70269775390625,18.877201080322266,-0.06096256151795387,0.0,0.9810302257537842,0.9899322390556335,0.96058589220047,0.9959506392478943,0.48629164695739746,0.491110235452652,0.9682071208953857,0.0,0.6106820106506348
33,,,,,,,,,,,,,,,,,,,-25.37548828125,2.2500000341096893e-05,-0.03763503581285477,0.17086949944496155,,,,,,,,,,,,,,7.898734092712402,0.02170395851135254,24.0,0.1009131669998169,148.70269775390625,18.877201080322266,-0.061975061893463135,0.0,0.9615727066993713,0.9398886561393738,0.8885111808776855,0.9756801724433899,0.4577515125274658,0.4535471498966217,0.9464545249938965,0.0,0.5129834413528442
34,-0.0236804336309433,-2.3002717952635976e-08,0.37720638513565063,0.36820149421691895,0.3474960923194885,0.38039499521255493,0.17889490723609924,0.1763824075460434,0.3713768422603607,0.0,0.2363356500864029,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-25.363868713378906,1.4999999621068127e-05,-0.0390438586473465,2.56705904006958,2.201777935028076,1.5797834396362305,0.5346716046333313,0.5895344614982605,2.230039596557617,1.3197033405303955,0.22727830708026886,0.6447405219078064,0.5167645215988159,1.582395315170288,1.0,0.5,0.09090909361839294,7.128438949584961,0.016055822372436523,26.0,0.10098437964916229,151.61538696289062,19.208236694335938,-0.06158455088734627,-1.2579612018726039e-07,0.962580680847168,0.932289183139801,0.8663880228996277,0.964312732219696,0.4512193500995636,0.44215428829193115,0.9320700168609619,0.0,0.49256131052970886
35,,,,,,,,,,,,,,,,,,,-25.34614372253418,2.2500000341096893e-05,-0.034982725977897644,0.18345697224140167,,,,,,,,,,,,,,7.409890174865723,0.016092300415039062,25.0,0.10103034973144531,154.26829528808594,19.56678581237793,-0.06238016486167908,0.0,0.9801099896430969,0.9634695053100586,0.9051153063774109,0.9829942584037781,0.4676643908023834,0.45839229226112366,0.952235221862793,0.0,0.5700926184654236
36,,,,,,,,,,,,,,,,,,,-25.337980270385742,1.4999999621068127e-05,-0.03323972597718239,3.3843700885772705,,,,,,,,,,,,,,7.84030818939209,0.016721248626708984,24.0,0.10104089230298996,154.3488311767578,19.52764892578125,-0.06218012049794197,0.0,0.9715664386749268,0.9224393367767334,0.877555787563324,0.9591705203056335,0.45182132720947266,0.4381077289581299,0.9583986401557922,0.0,0.7125590443611145
37,,,,,,,,,,,,,,,,,,,-25.335424423217773,2.2500000341096893e-05,-0.034736163914203644,0.23594824969768524,,,,,,,,,,,,,,7.939059257507324,0.01850104331970215,24.0,0.10105766355991364,154.3488311767578,19.52764892578125,-0.05923841521143913,0.0,0.9859712719917297,0.9877398610115051,0.9531967043876648,0.9925367832183838,0.48377108573913574,0.48029521107673645,0.9700292944908142,0.0,0.7813214659690857
38,,,,,,,,,,,,,,,,,,,-25.33494758605957,3.3749998692655936e-05,-0.028233317658305168,2.090726375579834,,,,,,,,,,,,,,7.609375953674316,0.015967845916748047,25.0,0.10102128237485886,152.55555725097656,19.274343490600586,-0.05985298380255699,-1.733189591845985e-08,0.9741830229759216,0.9445610046386719,0.9011802673339844,0.9722961783409119,0.4614482820034027,0.4576154053211212,0.951409101486206,0.0,0.6677289009094238
39,,,,,,,,,,,,,,,,,,,-25.35439109802246,2.2500000341096893e-05,-0.036784835159778595,0.20927058160305023,,,,,,,,,,,,,,7.696103096008301,0.019046783447265625,24.0,0.10093631595373154,152.55555725097656,19.274343490600586,-0.05983095243573189,0.0,0.9621233344078064,0.9219440817832947,0.8959019780158997,0.9739577174186707,0.45425012707710266,0.4511556327342987,0.9676263928413391,0.0,0.6961803436279297
