iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
33,,,,,,,,,,-6.042812824249268,5.852766480529681e-05,-0.04931936785578728,0.009989437647163868,0.04882979393005371,0.01192617416381836,1580.0,0.1965397745370865,143.7142791748047,-4.041823387145996,-0.02251429297029972,-0.11895377188920975,-0.4331947863101959,-0.4148222506046295,-0.6249255537986755,1.9914435148239136,-0.004263422917574644
34,,,,,,,,,,-6.051329612731934,5.852766480529681e-05,-0.055043596774339676,0.01565108262002468,0.04999899864196777,0.011739015579223633,1554.0,0.19643433392047882,143.7142791748047,-4.041823387145996,-0.023984013125300407,-0.06088409945368767,-0.8324120044708252,-0.7312952876091003,-1.1992918252944946,1.9957505464553833,-0.0077295731753110886
35,,,,,,,,,,-6.070240020751953,5.852766480529681e-05,-0.04785098508000374,0.02840784564614296,0.04968523979187012,0.011999845504760742,1556.0,0.19626744091510773,143.7142791748047,-4.041823387145996,-0.022856058552861214,-0.1915082186460495,-2.0916099548339844,-0.6788358092308044,-1.702235221862793,1.9795259237289429,-0.012463029474020004
36,,,,,,,,,,-6.0996856689453125,8.77914935699664e-05,-0.03924408182501793,0.22107315063476562,0.0395359992980957,0.01179814338684082,1870.0,0.1960412859916687,143.9545440673828,-4.108650207519531,-0.023113161325454712,-1.154987096786499,-7.093575954437256,-0.45769187808036804,-1.4784120321273804,1.8469682931900024,-0.005270285531878471
37,,,,,,,,,,-6.126377582550049,5.852766480529681e-05,-0.04529339447617531,0.34753572940826416,0.04604005813598633,0.012005090713500977,1653.0,0.1959458738565445,144.8333282470703,-4.223343372344971,-0.02140418440103531,-1.0605649948120117,-7.691328525543213,-0.4150727689266205,-0.7163591980934143,1.8264179229736328,-0.008442050777375698
38,,,,,,,,,,-6.132340908050537,0.0001316872367169708,-0.04372923821210861,0.15076176822185516,0.04688096046447754,0.01176595687866211,1636.0,0.1959146112203598,145.27999877929688,-4.250980377197266,-0.021755235269665718,-0.6595178842544556,-3.723745107650757,-0.22531579434871674,-0.4170489013195038,1.9037238359451294,-0.003871178487315774
39,,,,,,,,,,-6.146876811981201,3.9018443203531206e-05,-0.0495285727083683,0.017955752089619637,0.05138516426086426,0.011868953704833984,1517.0,0.19577230513095856,145.27999877929688,-4.250980377197266,-0.021939625963568687,-0.09118630737066269,-0.3431816101074219,-0.30233487486839294,-0.48059722781181335,1.9931856393814087,-0.003990235272794962
40,,,,,,,,,,-6.165622234344482,5.852766480529681e-05,-0.04028511419892311,0.012253235094249249,0.05047011375427246,0.01204991340637207,1535.0,0.19561882317066193,145.27999877929688,-4.250980377197266,-0.023512566462159157,-0.04930707812309265,-0.6073541045188904,-0.5077820420265198,-0.8461804389953613,1.9960222244262695,-0.005386097822338343
41,,,,,,,,,,-6.1945648193359375,5.852766480529681e-05,-0.05279245227575302,0.009670338593423367,0.050955772399902344,0.011775970458984375,1530.0,0.19539429247379303,145.27999877929688,-4.250980377197266,-0.021993860602378845,-0.12702436745166779,-1.448001742362976,-0.49090316891670227,-1.2115978002548218,1.989668369293213,-0.012028861790895462
42,,,,,,,,,,-6.223534107208252,8.77914935699664e-05,-0.05144398286938667,0.06959183514118195,0.040863037109375,0.012296199798583984,1805.0,0.19524133205413818,145.27999877929688,-4.250980377197266,-0.022238073870539665,-0.7861577868461609,-4.403933048248291,-0.33660030364990234,-1.346591830253601,1.9001089334487915,-0.005961887538433075
